opaque_review_pair_id,candidate_pair_id,calibration_stratum,final_decision,final_action,decision_basis,interpretation
CAL_0001,near_074926,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0002,near_026374,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0003,near_027115,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0004,near_045426,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0005,near_035190,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0006,near_006952,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0007,near_081207,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0008,near_033128,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0009,near_054179,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0010,near_021287,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0011,near_036381,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0012,near_057843,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0013,near_077452,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0014,near_040694,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0015,near_083978,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0016,near_030837,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0017,near_038565,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0018,near_059439,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0019,near_007805,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0020,near_015607,1,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0021,near_030496,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0022,near_069906,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0023,near_039258,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
